id,med_income
1500000US120210109022,92250
1500000US120010018131,92216
1500000US120110601221,92159
1500000US120860011041,92115
1500000US120990077051,92115
1500000US120570116151,92031
1500000US121050118331,92006
1500000US120111103073,91991
1500000US120710401151,91979
1500000US120860076043,91941
1500000US120730024161,91921
1500000US121030273223,91784
1500000US120860027038,91711
1500000US121170213141,91667
1500000US120110106042,91641
1500000US120879705002,91583
1500000US121030268113,91577
1500000US120210102091,91563
1500000US120910215011,91563
1500000US121170217081,91538
1500000US120860097032,91528
1500000US121270832051,91528
1500000US120111103241,91523
1500000US120860084073,91518
1500000US120710503143,91500
1500000US120990077521,91496
1500000US120850017003,91477
1500000US120990066033,91424
1500000US120860012062,91364
1500000US121090209021,91319
1500000US121030201062,91277
1500000US120050025001,91250
1500000US120310143291,91250
1500000US120570060005,91250
1500000US120860089063,91250
1500000US120570055001,91221
1500000US121270808073,91201
1500000US121030272021,91159
1500000US120310168034,91125
1500000US120860198002,91125
1500000US121090205003,91098
1500000US120570060007,91083
1500000US120950171041,91081
1500000US121170213131,91058
1500000US120860153002,90972
1500000US120990005092,90972
1500000US121030240012,90972
1500000US120710019074,90966
1500000US120990072011,90938
1500000US121030269083,90938
1500000US120499703003,90789
1500000US120860200001,90741
1500000US120990077492,90733
1500000US120330010014,90729
1500000US120110106061,90705
1500000US120110601214,90694
1500000US120110605031,90625
1500000US120990070061,90625
1500000US120730024142,90611
1500000US120570110061,90568
1500000US120570132061,90568
1500000US120990048132,90556
1500000US121150018013,90473
1500000US121030251231,90469
1500000US120570116081,90417
1500000US120860027039,90417
1500000US120150104042,90395
1500000US121170216091,90395
1500000US120990077542,90385
1500000US120110605032,90341
1500000US120110703153,90329
1500000US120190307034,90298
1500000US120850006042,90268
1500000US121010321073,90234
1500000US120570115042,90179
1500000US120810020161,90152
1500000US120990043002,90114
1500000US120570110123,90089
1500000US120190302032,90069
1500000US120090631054,90057
1500000US120950128002,90000
1500000US120570102052,89942
1500000US120110204063,89900
1500000US120310143324,89891
1500000US120110905024,89861
1500000US120330025003,89821
1500000US120610505041,89779
1500000US120110203191,89717
1500000US121010316031,89700
1500000US120950171052,89673
1500000US120710104063,89659
1500000US121170216041,89625
1500000US120879716001,89600
1500000US121270827043,89600
1500000US120110703152,89493
1500000US121130107071,89444
1500000US120860101931,89436
1500000US120050026082,89400
1500000US120990074101,89345
1500000US121170220053,89338
1500000US120990002153,89322
1500000US120860183001,89318
1500000US121090208022,89306
1500000US120090641281,89293
1500000US120570132062,89292
1500000US120860090101,89286
1500000US120110703051,89282
1500000US120990059162,89191
1500000US120111103332,89167
1500000US121050148043,89167
1500000US120110203241,89148
1500000US120860165003,89136
1500000US120690313101,89115
1500000US121170208102,89107
1500000US120310168052,89063
1500000US121030273091,89034
1500000US120570116071,89018
1500000US120990078171,88981
1500000US120850006071,88967
1500000US120860115001,88932
1500000US120860106131,88929
1500000US120830022031,88920
1500000US120860127002,88916
1500000US120810020083,88877
1500000US120860081021,88875
1500000US120990077351,88872
1500000US120610505031,88839
1500000US120110605033,88833
1500000US120570134152,88824
1500000US120860001071,88750
1500000US120879715022,88750
1500000US120950140002,88750
1500000US120990077482,88684
1500000US120879708004,88676
1500000US121050118222,88667
1500000US120570134131,88625
1500000US120570114103,88571
1500000US120950148111,88504
1500000US120990001011,88500
1500000US121170217073,88466
1500000US120860106126,88462
1500000US120710501051,88393
1500000US121150013031,88393
1500000US120860200003,88375
1500000US120310146012,88368
1500000US120310101031,88364
1500000US120860194002,88352
1500000US120330011011,88304
1500000US120190307011,88210
1500000US120860013022,88203
1500000US120310130002,88194
1500000US120850014043,88173
1500000US120570141181,88125
1500000US120210004022,88088
1500000US120730025071,88068
1500000US120111103311,88056
1500000US120990039013,88036
1500000US121150014031,88025
1500000US121030271062,88024
1500000US120810012044,87981
1500000US120310144133,87969
1500000US120990004051,87969
1500000US120110419003,87917
1500000US120110703121,87829
1500000US120570065012,87826
1500000US121050131011,87738
1500000US120710101041,87736
1500000US120570115221,87685
1500000US120710018011,87639
1500000US120990077654,87632
1500000US121030244111,87610
1500000US120210104162,87604
1500000US120860111023,87589
1500000US120860098072,87530
1500000US121050118212,87500
1500000US120210112012,87460
1500000US120730016023,87438
1500000US120110610021,87404
1500000US120110203193,87391
1500000US120990077301,87390
1500000US120860085011,87361
1500000US120110203221,87349
1500000US121150021001,87321
1500000US121050118342,87290
1500000US120730025122,87260
1500000US121030272022,87250
1500000US121170207041,87206
1500000US120860085012,87159
1500000US120710802022,87125
1500000US120990074141,87125
1500000US120990035041,87109
1500000US120910233031,87083
1500000US120860084054,87071
1500000US120730024082,87067
1500000US121030245091,87059
1500000US121113820063,87031
1500000US120570062004,87007
1500000US121030275014,87000
1500000US121030254011,86964
1500000US120990078175,86953
1500000US120860084123,86875
1500000US120190307022,86868
1500000US120570115061,86862
1500000US120010022041,86850
1500000US120860106123,86797
1500000US120090663021,86750
1500000US120210102133,86750
1500000US121170215043,86750
1500000US120111103261,86743
1500000US120990076032,86705
1500000US120110703101,86645
1500000US120110606092,86643
1500000US120990077531,86543
1500000US120860106042,86520
1500000US120110203211,86518
1500000US121030273171,86500
1500000US120310168064,86487
1500000US121030277012,86458
1500000US120310144121,86456
1500000US120860079021,86429
1500000US120570133223,86250
1500000US120810004052,86250
1500000US120810010004,86250
1500000US120860082023,86250
1500000US121150019031,86250
1500000US120990077251,86198
1500000US121150014011,86186
1500000US120330032042,86182
1500000US120990076052,86172
1500000US120950113001,86136
1500000US120910211024,86120
1500000US120850013013,86061
1500000US120110607002,86058
1500000US121170213111,86042
1500000US120110704041,86016
1500000US120990077163,86000
1500000US121030244092,85962
1500000US120310022003,85942
1500000US120150104021,85882
1500000US120330036121,85882
1500000US120990076162,85875
1500000US120570102053,85833
1500000US120990077232,85833
1500000US120990078051,85833
1500000US120110703164,85792
1500000US120710104102,85667
1500000US121170213153,85662
1500000US121150027131,85625
1500000US120111103315,85583
1500000US121010321111,85542
1500000US121030250113,85509
1500000US120110301002,85507
1500000US120990077312,85500
1500000US121150007001,85500
1500000US120810019131,85476
1500000US121010320011,85469
1500000US120210102151,85455
1500000US120810020133,85444
1500000US120330023001,85417
1500000US120990066052,85375
1500000US120950113004,85362
1500000US120990054113,85313
1500000US121010303031,85278
1500000US120570121063,85260
1500000US121170208113,85208
1500000US121090206021,85205
1500000US121010316011,85185
1500000US121170202012,85179
1500000US121319506016,85175
1500000US120110703113,85161
1500000US120110703124,85156
1500000US120990036003,85156
1500000US120860194001,85139
1500000US120690313074,85125
1500000US121170208053,85125
1500000US121170222072,85111
1500000US121150019041,85066
1500000US120111103321,85048
1500000US120970408031,85047
1500000US120570115231,85045
1500000US120939106014,85000
1500000US120990077313,84936
1500000US120310167282,84922
1500000US120990008042,84886
1500000US120710101051,84844
1500000US120730024102,84821
1500000US120860074004,84821
1500000US120110420003,84781
1500000US120860061014,84732
1500000US121010321132,84732
1500000US120710009003,84712
1500000US120090631022,84701
1500000US120990070022,84688
1500000US121170207051,84659
1500000US121150015052,84635
1500000US120210101052,84630
1500000US120310023001,84602
1500000US120860090102,84602
1500000US120090652313,84583
1500000US120610507033,84569
1500000US120910217002,84545
1500000US121090206012,84535
1500000US120110309043,84521
1500000US120110405041,84500
1500000US120990078202,84500
1500000US121170216111,84464
1500000US120710401082,84440
1500000US120210104163,84417
1500000US120990077244,84375
1500000US120860122002,84292
1500000US120090712002,84271
1500000US121030277043,84167
1500000US121010316032,84161
1500000US120860043012,84148
1500000US120860038042,84137
1500000US120730026061,84125
1500000US121030272063,84118
1500000US120010022091,84091
1500000US120990059222,84091
1500000US120570111031,84083
1500000US120510001001,84076
1500000US120110905031,84063
1500000US120910216002,84063
1500000US121030252032,84000
1500000US120950126002,83977
1500000US120710019031,83969
1500000US120860038044,83920
1500000US120330010013,83917
1500000US120050008063,83906
1500000US121010320081,83906
1500000US120860067053,83898
1500000US120990002091,83846
1500000US120860061021,83824
1500000US120010022054,83816
1500000US120950102002,83787
1500000US120570110072,83750
1500000US120710601025,83750
1500000US120730024101,83750
